,NeteaseMusic,NeteaseMusic,NeteaseMusic,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud,SoundCloud
,neteaseId,neteaseName,neteaseDuration,soundcloudId,soundcloudName,soundcloudDuration,scCommentable,scCommentCount,scDownloadable,scDownloadCount,scLikeCount,genre
musicId,,,,,,,,,,,,
1,484365971,Good Drank,222746,289012639,2 Chainz -  Good Drank Feat. Quavo and Gucci Mane (Prod. Mike Dean),224803,True,762,False,0,366813,Hip-hop & Rap
5,421807033,No Heart,235102,301448548,21 Savage & Metro Boomin - No Heart,255919,True,2,True,23,30,
6,426852136,Red Opps,163428,245832993,Red Opps - Prod by Sonny Digital,163410,True,3743,False,0,617068,21 Savage
8,431811028,Prblms (Final),248502,259094492,PRBLMS,246853,True,1727,False,0,666173,R & B
9,437802847,Timeless (DJ SPINKING),184032,290241454,Timeless (DJ SPINKING),184128,True,4708,False,0,769420,Hip-hop & Rap
10,464674325,Drowning,209319,310583525,Drowning (feat. Kodak Black),30000,True,9902,False,0,1461901,Rap/Hip Hop
11,437802853,My Shit,128182,242326090,My Shit,30000,True,4051,False,1443,757323,Rap/Hip Hop
12,440208439,We The People....,172068,293741042,"We The People- A Tribe Called Quest (Remix/Gmix) ""I see Dead People""",101965,True,4,True,100,230,Hip-hop & Rap
17,35847388,Hello,295502,230155983,Hello - Adele,300880,True,5460,False,100,880568,hello
19,428423168,Water Under the Bridge,240439,248171100,Adele  Water Under The Bridge,269790,True,6,False,0,3880,Adele
20,539372582,Al Jarreau-We're In This Love Together（程昭瑜 Remix）,240000,199523978,We're In This Love Together,30000,True,2,False,0,407,Jazz
21,36990266,Faded,212626,256888193,Alan Walker & Iselin Solheim - Faded (Hardwell Remix) [FREE DOWNLOAD],203120,True,15,False,0,1477,EDM
23,437856225,How Far I'll Go,175568,314001417,How Far I'll Go (Alessia Cara Version),30000,True,393,False,0,39714,Soundtrack
25,36587834,Scars To Your Beautiful,230295,273587328,Alessia Cara - Scars To Your Beautiful,233032,True,145,False,0,21085,Acoustic
26,36190363,Wild Things,188581,263968194,Alessia Cara X G-Eazy - Wild Things (Young Bombs Remix),242411,True,680,False,0,171305,BOMB
28,436487387,Not Easy,245620,298565503,"Alex Da Kid - Not Easy (feat. X Ambassadors, Elle King & Wiz Khalifa) (Cover by Sophia Dion)",197633,True,0,False,0,232,Alternative Pop Soul
31,447279559,Caroline (Lege Kale Remix),252290,251059513,Caroline,30000,True,10887,False,0,1242483,Hip Hop
32,34280241,Rise Up,253399,215131716,Rise Up,30000,True,1519,False,0,197057,R&B
33,423118988,Fresh Eyes,198066,286083117,Andy Grammer - Fresh Eyes (AMIGO Merengue Edit)*FREE DL IN DESCRIPTION*,231570,True,65,False,100,11005,Pachanga
34,5147360,It's The Most Wonderful Time Of The Year,151000,297142482,Andy Williams - It's The Most Wonderful Time Of The Year,148598,True,7,False,0,14,R&B & Soul
35,430208474,True Colors,243720,264234097,Justin Timberlake feat Anna Kendrick - True Colors,177961,True,53,False,0,5826,Pop
37,420513582,Alarm (Marshmello Remix),219768,272771737,Anne Marie - Alarm (Marshmello Remix),219813,True,1469,False,0,272570,Dance & EDM
38,458697808,Ciao Adios,200156,307079751,Anne-Marie - Ciao Adios (Decoy! Remix),185356,True,163,False,0,51226,Electronic
39,456185245,Thief,220708,304496811,Thief,30000,True,123,False,0,28084,Pop
40,455311526,Beauty and the Beast,227752,314484335,Ariana Grande & John Legend - Beauty And The Beast,226346,True,0,False,0,9,Soundtrack
42,406346140,Dangerous Woman,235946,251666381,Ariana Grande - Dangerous Woman (Live from SNL),229662,True,384,False,0,52384,
43,28977745,One Last Time,197280,203405316,One Last Time - Ariana Grande,193219,True,915,False,0,151553,arianagrande
44,431079380,Forever Country,242520,336786543,"Artists Of Then, Now   Forever - Forever Country",253385,True,2,False,0,217,Country
46,459078774,Rolex,238628,329646145,Ayo And Teo - Rolex #rolexchallenge,147630,True,856,False,984,129075,Hip-hop & Rap
48,29743112,Do They Know It's Christmas? (2014),228000,181699171,"""Do They Know It's Christmas"" (Feed The World) By Tribute Band Aid",220049,True,13,False,0,1080,Band Aid
49,420154495,Good Grief (Don Diablo Remix),239046,278128721,Bastille - Good Grief (Don Diablo Remix),162810,True,54,False,0,32876,Dance & EDM
50,16855884,Fight For Your Right,207621,151177627,Beastie Boys - Fight For Your Right,310180,True,1,False,0,30,Cover
51,437480940,I Got You,191866,289391673,I Got You,30000,True,795,False,0,110768,Pop
52,32028222,Might Not ,224000,269462195,"Might Not Remix (feat. 2 Chainz, Yo Gotti & The Weeknd)",237057,True,22,False,0,12147,
54,34228717,Brand New,243983,217112905,Brand New,244058,True,98,False,0,10884,Singer-Songwriter
55,456175320,No Favors,325840,305978955,Big Sean Ft. Eminem - No Favors (Instrumental) (Reprod. Wocki Beats),313941,True,18,False,0,1555,Hip-hop & Rap
56,30474373,Blessings,302000,255792044,Blessings (feat. Drake),30000,True,228,False,0,65356,Hip Hop
57,438580521,Bounce Back,222423,290337922,Bounce Back,30000,True,7476,False,0,1115684,Hip Hop
58,454053973,Halfway Off The Balcony,230960,304349639,Big Sean - Halfway Off The Balcony,201212,True,5,False,0,5895,Hip-hop & Rap
59,456185312,Jump Out The Window,213693,383539697,Big Sean - Jump Out The Window,276427,True,13,False,0,8393,
61,448742169,Moves,142906,298169427,Moves,30000,True,1098,False,0,344980,Hip Hop
66,32019064,It Don't Hurt Like It Used To,185000,256164388,It Don't Hurt Like It Used To,30000,True,41,False,0,12547,Country
67,402070513,River,219999,242743046,River,30000,True,697,False,0,121965,Alternative
68,493448483,do re mi,233743,333876877,Blackbear - Do Re Mi,196223,True,25,False,0,2362,
69,412327691,A Guy With a Girl,190914,262872067,A Guy With a Girl,30000,True,45,False,0,8596,Country
70,406037956,Came Here to Forget,220395,250817981,Came Here to Forget,30000,True,317,False,0,57900,Country
